Type,Trans Date,Post Date,Description,Amount
SALE,10/11/2015,10/12/2015,"PP *GOOGLE PLAY",-24.99
SALE,09/16/2015,09/17/2015,"BLENDED HEALTH LLC",-8.64
SALE,10/06/2015,10/07/2015,"ARHAUS FURNITURE 90",-517.75
SALE,10/17/2015,10/18/2015,"Alima Bourse",-23.94
RETURN,09/14/2015,09/15/2015,"PAYPAL *MYMEDHOUSIN",13.50
SALE,10/01/2015,10/04/2015,"NORDSTROM RACK #0241",-64.77
SALE,09/12/2015,09/13/2015,"SQ *PHOENIX COFFEE COMPAN",-4.65
SALE,10/31/2015,11/02/2015,"STARBUCKS 2501",-8.15
SALE,11/08/2015,11/09/2015,"WHOLEFDS CTR 10199",-32.23
SALE,10/01/2015,10/02/2015,"COMFORT ZONE",-39.00
SALE,10/06/2015,10/07/2015,"SQ *PHOENIX COFFEE COMPAN",-8.70
SALE,10/25/2015,10/26/2015,"Premier Hotel",-28.97
SALE,09/15/2015,09/16/2015,"SQ *PHOENIX COFFEE COMPAN",-3.45
SALE,10/17/2015,10/18/2015,"GOOGLE *dooblou apps",-4.70
SALE,08/16/2015,08/17/2015,"WHOLEFDS CTR 10199",-54.33
SALE,08/14/2015,08/16/2015,"SQ *PHOENIX COFFEE COMPAN",-4.20
SALE,09/30/2015,10/01/2015,"BLENDED HEALTH LLC",-9.64
SALE,08/14/2015,08/16/2015,"SHAKER SQUARE CINEMAS",-10.50
SALE,09/16/2015,09/17/2015,"CVS/PHARMACY #03634",-8.18
PAYMENT,08/24/2015,08/24/2015,"Payment Thank You - Web",1772.11
SALE,08/18/2015,08/19/2015,"AT&T*BILL PAYMENT",-254.32
SALE,08/17/2015,08/19/2015,"CINEMARK THEATRES 283",-14.55
SALE,10/09/2015,10/11/2015,"SHELL OIL 57424307908",-3.92
SALE,10/25/2015,10/27/2015,"VINIFERA",-8.59
SALE,08/30/2015,08/31/2015,"SQ *PHOENIX COFFEE COMPAN",-7.80
SALE,09/18/2015,09/20/2015,"BLENDED HEALTH LLC",-3.89
SALE,09/07/2015,09/08/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,10/01/2015,10/02/2015,"CHIPOTLE 0474",-13.18
SALE,11/11/2015,11/12/2015,"CVS/PHARMACY #03634",-21.02
SALE,11/05/2015,11/06/2015,"NEORSD",-277.67
SALE,11/01/2015,11/02/2015,"LONDON'S PRIDE",-45.48
SALE,10/22/2015,10/23/2015,"CVS/PHARMACY #03634",-55.84
SALE,11/13/2015,11/13/2015,"UBER TECHNOLOGIES INC",-3.28
SALE,10/21/2015,10/22/2015,"APOTHEKE AM HAUPTBAHNH",-55.64
SALE,08/25/2015,08/26/2015,"CVS/PHARMACY #03338",-5.69
SALE,09/28/2015,09/29/2015,"SQ *PHOENIX COFFEE COMPAN",-4.50
SALE,08/18/2015,08/19/2015,"USA*PRIORITY VENDING OH",-1.10
SALE,08/18/2015,08/19/2015,"ALADDINS EATERY",-25.25
SALE,11/08/2015,11/09/2015,"MAC'S BACKS-BOOKS ON COV",-54.00
PAYMENT,09/02/2015,09/02/2015,"Payment Thank You - Web",1818.28
SALE,10/09/2015,10/11/2015,"SQ *PHOENIX COFFEE COMPAN",-6.00
SALE,11/11/2015,11/12/2015,"BEAUTY ENERGY SALON SPA",-55.00
SALE,10/04/2015,10/06/2015,"HIGH THAI D",-23.85
SALE,10/30/2015,11/03/2015,"RESTAURANT DANIELI",-45.87
SALE,10/02/2015,10/04/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,10/31/2015,11/02/2015,"McDonalds 33",-2.77
SALE,09/27/2015,09/28/2015,"NFL GAME PASS - SEASON",-99.99
SALE,08/14/2015,08/16/2015,"SHAKER SQUARE CINEMAS",-19.00
SALE,11/08/2015,11/10/2015,"T J MAXX #875",-7.99
SALE,10/18/2015,10/19/2015,"Hotel Sofitel",-29.64
SALE,11/10/2015,11/11/2015,"TONY CHANS WATER CLUB",-12.85
SALE,10/13/2015,10/14/2015,"PRAGMATIC PROGRAMMERS",-15.00
SALE,10/05/2015,10/06/2015,"TWC*TIME WRNR CABLE",-274.96
SALE,08/11/2015,08/13/2015,"LOPEZ",-55.36
SALE,08/19/2015,08/20/2015,"NATIONWIDE/ALLIED INS",-943.56
SALE,11/06/2015,11/08/2015,"SQ *PHOENIX COFFEE COMPAN",-5.30
SALE,09/04/2015,09/06/2015,"SHAKER SQUARE CINEMAS",-19.00
SALE,10/10/2015,10/11/2015,"SQ *PHOENIX COFFEE COMPAN",-4.20
SALE,10/20/2015,10/21/2015,"SDA",-16.83
SALE,10/11/2015,10/12/2015,"SQ *PHOENIX COFFEE COMPAN",-12.50
SALE,09/19/2015,09/21/2015,"THE HOME DEPOT 3818",-7.55
SALE,10/21/2015,10/22/2015,"BODY SHOP KOELN",-18.78
SALE,08/29/2015,08/30/2015,"TARGET        00018044",-5.39
PAYMENT,10/09/2015,10/09/2015,"Payment Thank You - Web",1200.00
SALE,09/18/2015,09/20/2015,"CINEMARK THEATRES 283",-29.00
SALE,08/07/2015,08/09/2015,"BLENDED HEALTH LLC",-9.64
SALE,10/18/2015,10/20/2015,"LOPEZ",-66.44
SALE,08/07/2015,08/10/2015,"DEJA VU BOUTIQUE",-15.21
SALE,08/27/2015,08/28/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,08/26/2015,08/27/2015,"SQ *PHOENIX COFFEE COMPAN",-11.62
SALE,08/15/2015,08/16/2015,"RUSSO'S  BACCHUS LOUNGE",-24.01
SALE,08/29/2015,08/30/2015,"SQ *ON THE RISE ARTISAN B",-34.75
